Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,Pre-workshop survey: What do you expect to get from this course?
,,2020-05-06 05:02:41.903043+00:00,Graduate student,"Electrical Engineering, Electronic Engineering, Information Engineering",Windows,I don't use version control and I don't know what it is,Matlab; Python,No and I don't know what it is,GitLab,I have written my own simple programs,I do not know what most of these commands do,From advisor/supervisor,
,,2020-05-05 06:20:09.919284+00:00,Research software engineer,Other Engineering and Technologies,Windows,I don't use version control but I know what it is,Matlab; Python,No and I don't know what it is,GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From friend/colleague,Me and my teammates  shall implement version control and we are gathering info to make the best implementation plan
,,2020-05-02 17:33:14.362665+00:00,Graduate student,Nano-technology,macOS,Git,Python; Perl; C; C++; Fortran 90+,No but I know what it is,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,Tips on improving my git practises
,,2020-05-01 10:50:26.715567+00:00,Professor,Mathematics,macOS,Git; Subversion,Matlab; Python; C; Julia,No but I know what it is,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From friend/colleague,
,,2020-05-01 10:14:33.401239+00:00,Graduate student,Mechanical Engineering,Linux,Git; CVS,Matlab; R; Python; C++,No and I don't know what it is,GitLab; Other,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,"More insides in git when working together. I used git mainly for myself, yet looking forward how it is cleverly and efficiently used when working together on major projects."
,,2020-04-30 21:07:39.634580+00:00,Undergraduate student,Medical Biotechnology,Linux,Git,R; Python; Perl,No and I don't know what it is,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,
,,2020-04-30 10:00:29.996502+00:00,Postdoc,Biological Sciences,macOS,I don't use version control but I know what it is,R; Python,No but I know what it is,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From friend/colleague,"As my projects are getting more complex and I am collaborating with other people, I want to start using version control in my work and properly be able to share my code."
,,2020-04-30 09:39:11.142186+00:00,Graduate student,Biological Sciences,Windows,I don't use version control but I know what it is,R,No but I know what it is,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From friend/colleague,To have a better grasp on the best practices in coding and online repository usage such as Github
,,2020-04-30 09:24:59.296357+00:00,Graduate student,Physical Sciences,Linux,Git,Matlab; Python,No and I don't know what it is,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,Familiarize with version control for daily work
,,2020-04-29 11:58:26.984759+00:00,Researcher,"Electrical Engineering, Electronic Engineering, Information Engineering",macOS,Git,R; Python; Perl; C; C++; Julia,No and I don't know what it is,GitHub; GitLab; source.coderefinery.org,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Other,
,,2020-04-29 11:57:12.363334+00:00,Research software engineer,Biological Sciences,Windows,Git,R; Python; Other,No and I don't know what it is,GitHub; GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",,
